Date_Time,ACT_PWR
2025-06-01 00:00:13,0,0
2025-06-01 00:01:13,0,0
2025-06-01 00:02:13,0,0
2025-06-01 00:03:13,0,0
2025-06-01 00:04:13,0,0
2025-06-01 00:05:13,0,0
2025-06-01 00:06:13,0,0
2025-06-01 00:07:13,0,0
2025-06-01 00:08:13,0,0
2025-06-01 00:09:13,0,0
2025-06-01 00:10:13,0,0
2025-06-01 00:11:13,0,0
2025-06-01 00:12:13,0,0
2025-06-01 00:13:13,0,0
2025-06-01 00:14:13,0,0
2025-06-01 00:15:13,0,0
2025-06-01 00:16:13,0,0
2025-06-01 00:17:13,0,0
2025-06-01 00:18:13,0,0
2025-06-01 00:19:13,0,0
2025-06-01 00:20:13,0,0
2025-06-01 00:21:13,0,0
2025-06-01 00:22:13,0,0
2025-06-01 00:23:13,0,0
2025-06-01 00:24:13,0,0
2025-06-01 00:25:13,0,0
2025-06-01 00:26:13,0,0
2025-06-01 00:27:13,0,0
2025-06-01 00:28:13,0,0
2025-06-01 00:29:13,0,0
2025-06-01 00:30:13,0,0
2025-06-01 00:31:13,0,0
2025-06-01 00:32:13,0,0
2025-06-01 00:33:13,0,0
2025-06-01 00:34:13,0,0
2025-06-01 00:35:13,0,0
2025-06-01 00:36:13,0,0
2025-06-01 00:37:13,0,0
2025-06-01 00:38:13,0,0
2025-06-01 00:39:13,0,0
2025-06-01 00:40:13,0,0
2025-06-01 00:41:13,0,0
2025-06-01 00:42:13,0,0
2025-06-01 00:43:13,0,0
2025-06-01 00:44:13,0,0
2025-06-01 00:45:13,0,0
2025-06-01 00:46:13,0,0
2025-06-01 00:47:13,0,0
2025-06-01 00:48:13,0,0
2025-06-01 00:49:13,0,0
2025-06-01 00:50:13,0,0
2025-06-01 00:51:13,0,0
2025-06-01 00:52:13,0,0
2025-06-01 00:53:13,0,0
2025-06-01 00:54:13,0,0
2025-06-01 00:55:13,0,0
2025-06-01 00:56:13,0,0
2025-06-01 00:57:13,0,0
2025-06-01 00:58:13,0,0
2025-06-01 00:59:13,0,0
2025-06-01 01:00:13,0,0
2025-06-01 01:01:13,0,0
2025-06-01 01:02:13,0,0
2025-06-01 01:03:13,0,0
2025-06-01 01:04:13,0,0
2025-06-01 01:05:13,0,0
2025-06-01 01:06:13,0,0
2025-06-01 01:07:13,0,0
2025-06-01 01:08:13,0,0
2025-06-01 01:09:13,0,0
2025-06-01 01:10:13,0,0
2025-06-01 01:11:13,0,0
2025-06-01 01:12:13,0,0
2025-06-01 01:13:13,0,0
2025-06-01 01:14:13,0,0
2025-06-01 01:15:13,0,0
2025-06-01 01:16:13,0,0
2025-06-01 01:17:13,0,0
2025-06-01 01:18:13,0,0
2025-06-01 01:19:13,0,0
2025-06-01 01:20:13,0,0
2025-06-01 01:21:13,0,0
2025-06-01 01:22:13,0,0
2025-06-01 01:23:13,0,0
2025-06-01 01:24:13,0,0
2025-06-01 01:25:13,0,0
2025-06-01 01:26:13,0,0
2025-06-01 01:27:13,0,0
2025-06-01 01:28:13,0,0
2025-06-01 01:29:13,0,0
2025-06-01 01:30:13,0,0
2025-06-01 01:31:13,0,0
2025-06-01 01:32:13,0,0
2025-06-01 01:33:13,0,0
2025-06-01 01:34:13,0,0
2025-06-01 01:35:13,0,0
2025-06-01 01:36:13,0,0
2025-06-01 01:37:13,0,0
2025-06-01 01:38:13,0,0
2025-06-01 01:39:13,0,0
2025-06-01 01:40:13,0,0
2025-06-01 01:41:13,0,0
2025-06-01 01:42:13,0,0
2025-06-01 01:43:13,0,0
2025-06-01 01:44:13,0,0
2025-06-01 01:45:14,0,0
2025-06-01 01:46:14,0,0
2025-06-01 01:47:14,0,0
2025-06-01 01:48:14,0,0
2025-06-01 01:49:14,0,0
2025-06-01 01:50:14,0,0
2025-06-01 01:51:14,0,0
2025-06-01 01:52:14,0,0
2025-06-01 01:53:14,0,0
2025-06-01 01:54:14,0,0
2025-06-01 01:55:14,0,0
2025-06-01 01:56:14,0,0
2025-06-01 01:57:14,0,0
2025-06-01 01:58:14,0,0
2025-06-01 01:59:14,0,0
2025-06-01 02:00:14,0,0
2025-06-01 02:01:14,0,0
