Date_Time,Active_Power
2025-01-20 00:00:41,0,0
2025-01-20 00:01:43,0,0
2025-01-20 00:02:42,0,0
2025-01-20 00:03:41,0,0
2025-01-20 00:04:41,0,0
2025-01-20 00:05:42,0,0
2025-01-20 00:06:43,0,0
2025-01-20 00:07:41,0,0
2025-01-20 00:08:42,0,0
2025-01-20 00:09:43,0,0
2025-01-20 00:10:42,0,0
2025-01-20 00:11:41,0,0
2025-01-20 00:12:43,0,0
2025-01-20 00:13:42,0,0
2025-01-20 00:14:42,0,0
2025-01-20 00:15:42,0,0
2025-01-20 00:16:42,0,0
2025-01-20 00:17:42,0,0
2025-01-20 00:18:41,0,0
2025-01-20 00:19:42,0,0
2025-01-20 00:20:43,0,0
2025-01-20 00:21:42,0,0
2025-01-20 00:22:42,0,0
2025-01-20 00:23:43,0,0
2025-01-20 00:24:42,0,0
2025-01-20 00:25:41,0,0
2025-01-20 00:26:41,0,0
2025-01-20 00:27:42,0,0
2025-01-20 00:28:43,0,0
2025-01-20 00:29:42,0,0
2025-01-20 00:30:42,0,0
2025-01-20 00:31:42,0,0
2025-01-20 00:32:42,0,0
2025-01-20 00:33:42,0,0
2025-01-20 00:34:42,0,0
2025-01-20 00:35:42,0,0
2025-01-20 00:36:43,0,0
2025-01-20 00:37:42,0,0
2025-01-20 00:38:42,0,0
2025-01-20 00:39:43,0,0
2025-01-20 00:40:41,0,0
2025-01-20 00:41:42,0,0
2025-01-20 00:42:41,0,0
2025-01-20 00:43:43,0,0
2025-01-20 00:44:42,0,0
2025-01-20 00:45:41,0,0
2025-01-20 00:46:43,0,0
2025-01-20 00:47:42,0,0
2025-01-20 00:48:41,0,0
2025-01-20 00:49:42,0,0
2025-01-20 00:50:41,0,0
2025-01-20 00:51:42,0,0
2025-01-20 00:52:42,0,0
2025-01-20 00:53:42,0,0
2025-01-20 00:54:43,0,0
2025-01-20 00:55:41,0,0
2025-01-20 00:56:42,0,0
2025-01-20 00:57:42,0,0
2025-01-20 00:58:42,0,0
2025-01-20 00:59:42,0,0
2025-01-20 01:00:41,0,0
2025-01-20 01:01:42,0,0
2025-01-20 01:02:43,0,0
2025-01-20 01:03:41,0,0
2025-01-20 01:04:42,0,0
2025-01-20 01:05:43,0,0
2025-01-20 01:06:42,0,0
2025-01-20 01:07:42,0,0
2025-01-20 01:08:42,0,0
2025-01-20 01:09:42,0,0
2025-01-20 01:10:42,0,0
2025-01-20 01:11:41,0,0
2025-01-20 01:12:42,0,0
2025-01-20 01:13:42,0,0
2025-01-20 01:14:42,0,0
2025-01-20 01:15:41,0,0
2025-01-20 01:16:42,0,0
2025-01-20 01:17:42,0,0
2025-01-20 01:18:42,0,0
2025-01-20 01:19:42,0,0
2025-01-20 01:20:42,0,0
2025-01-20 01:21:42,0,0
2025-01-20 01:22:42,0,0
2025-01-20 01:23:42,0,0
2025-01-20 01:24:41,0,0
2025-01-20 01:25:42,0,0
2025-01-20 01:26:43,0,0
2025-01-20 01:27:41,0,0
2025-01-20 01:28:42,0,0
2025-01-20 01:29:42,0,0
2025-01-20 01:30:43,0,0
2025-01-20 01:31:42,0,0
2025-01-20 01:32:41,0,0
2025-01-20 01:33:43,0,0
2025-01-20 01:34:43,0,0
2025-01-20 01:35:41,0,0
2025-01-20 01:36:42,0,0
